# synthetic capture -- parity fixture, NOT a signal-quality reference
# bpm=64.0 seconds=60.0 seed=12345
Timestamp_ms,RawIr,RawGSR,IrNew
0,79941,1298,1
2,0,1308,0
4,0,1313,0
6,0,1314,0
8,0,1307,0
10,0,1299,0
12,0,1291,0
14,0,1286,0
16,0,1287,0
18,0,1290,0
20,0,1300,0
22,0,1309,0
24,0,1312,0
26,0,1313,0
28,0,1308,0
30,0,1299,0
32,0,1293,0
34,0,1286,0
36,0,1288,0
38,0,1293,0
40,80413,1300,1
42,0,1308,0
44,0,1312,0
46,0,1313,0
48,0,1308,0
50,0,1298,0
52,0,1290,0
54,0,1287,0
56,0,1286,0
58,0,1290,0
60,0,1299,0
62,0,1307,0
64,0,1313,0
66,0,1314,0
68,0,1306,0
70,0,1300,0
72,0,1291,0
74,0,1286,0
76,0,1287,0
78,0,1291,0
80,80794,1300,1
82,0,1308,0
84,0,1312,0
86,0,1314,0
88,0,1308,0
90,0,1299,0
92,0,1292,0
94,0,1286,0
96,0,1287,0
98,0,1291,0
100,0,1300,0
102,0,1307,0
104,0,1312,0
106,0,1313,0
108,0,1308,0
110,0,1299,0
112,0,1292,0
114,0,1286,0
116,0,1287,0
118,0,1292,0
120,81030,1298,1
122,0,1307,0
124,0,1312,0
126,0,1314,0
128,0,1309,0
130,0,1298,0
132,0,1290,0
134,0,1286,0
136,0,1287,0
138,0,1292,0
140,0,1299,0
142,0,1307,0
144,0,1312,0
146,0,1314,0
148,0,1309,0
150,0,1299,0
152,0,1292,0
154,0,1287,0
156,0,1286,0
158,0,1292,0
160,81143,1300,1
162,0,1307,0
164,0,1314,0
166,0,1314,0
168,0,1306,0
170,0,1300,0
172,0,1291,0
174,0,1285,0
176,0,1286,0
178,0,1292,0
180,0,1298,0
182,0,1307,0
184,0,1313,0
186,0,1313,0
188,0,1307,0
190,0,1298,0
192,0,1290,0
194,0,1287,0
196,0,1286,0
198,0,1292,0
200,80987,1300,1
202,0,1308,0
204,0,1314,0
206,0,1313,0
208,0,1307,0
210,0,1301,0
212,0,1291,0
214,0,1285,0
216,0,1287,0
218,0,1292,0
220,0,1301,0
222,0,1306,0
224,0,1313,0
226,0,1311,0
228,0,1307,0
230,0,1298,0
232,0,1291,0
234,0,1287,0
236,0,1287,0
238,0,1290,0
240,80923,1299,1
242,0,1309,0
244,0,1312,0
246,0,1313,0
248,0,1308,0
250,0,1299,0
252,0,1291,0
254,0,1287,0
256,0,1287,0
258,0,1292,0
260,0,1299,0
262,0,1307,0
264,0,1313,0
266,0,1312,0
268,0,1307,0
270,0,1301,0
272,0,1291,0
274,0,1285,0
276,0,1286,0
278,0,1292,0
280,80693,1299,1
282,0,1306,0
284,0,1311,0
286,0,1313,0
288,0,1308,0
290,0,1300,0
292,0,1291,0
294,0,1286,0
296,0,1286,0
298,0,1291,0
300,0,1300,0
302,0,1306,0
304,0,1312,0
306,0,1312,0
308,0,1308,0
310,0,1298,0
312,0,1290,0
314,0,1287,0
316,0,1285,0
318,0,1292,0
320,80410,1298,1
322,0,1308,0
324,0,1311,0
326,0,1312,0
328,0,1306,0
330,0,1300,0
332,0,1290,0
334,0,1284,0
336,0,1285,0
338,0,1291,0
340,0,1299,0
342,0,1308,0
344,0,1313,0
346,0,1311,0
348,0,1306,0
350,0,1300,0
352,0,1290,0
354,0,1286,0
356,0,1285,0
358,0,1290,0
360,80213,1300,1
362,0,1307,0
364,0,1312,0
366,0,1312,0
368,0,1308,0
370,0,1300,0
372,0,1290,0
374,0,1286,0
376,0,1287,0
378,0,1290,0
380,0,1298,0
382,0,1307,0
384,0,1314,0
386,0,1314,0
388,0,1307,0
390,0,1299,0
392,0,1291,0
394,0,1285,0
396,0,1285,0
398,0,1292,0
400,80156,1300,1
402,0,1307,0
404,0,1312,0
406,0,1312,0
408,0,1309,0
410,0,1298,0
412,0,1291,0
414,0,1287,0
416,0,1286,0
418,0,1290,0
420,0,1299,0
422,0,1308,0
424,0,1312,0
426,0,1313,0
428,0,1307,0
430,0,1300,0
432,0,1291,0
434,0,1287,0
436,0,1286,0
438,0,1292,0
440,80077,1299,1
442,0,1306,0
444,0,1313,0
446,0,1311,0
448,0,1308,0
450,0,1298,0
452,0,1291,0
454,0,1286,0
456,0,1287,0
458,0,1290,0
460,0,1299,0
462,0,1308,0
464,0,1314,0
466,0,1311,0
468,0,1306,0
470,0,1299,0
472,0,1291,0
474,0,1285,0
476,0,1286,0
478,0,1291,0
480,79995,1300,1
482,0,1307,0
484,0,1312,0
486,0,1313,0
488,0,1306,0
490,0,1300,0
492,0,1290,0
494,0,1286,0
496,0,1285,0
498,0,1290,0
500,0,1298,0
502,0,1306,0
504,0,1311,0
506,0,1314,0
508,0,1307,0
510,0,1298,0
512,0,1292,0
514,0,1287,0
516,0,1287,0
518,0,1290,0
520,79970,1298,1
522,0,1308,0
524,0,1314,0
526,0,1311,0
528,0,1306,0
530,0,1298,0
532,0,1291,0
534,0,1286,0
536,0,1285,0
538,0,1291,0
540,0,1299,0
542,0,1308,0
544,0,1312,0
546,0,1312,0
548,0,1307,0
550,0,1298,0
552,0,1291,0
554,0,1285,0
556,0,1285,0
558,0,1290,0
560,79864,1300,1
562,0,1306,0
564,0,1312,0
566,0,1312,0
568,0,1308,0
570,0,1298,0
572,0,1292,0
574,0,1286,0
576,0,1284,0
578,0,1292,0
580,0,1298,0
582,0,1307,0
584,0,1313,0
586,0,1311,0
588,0,1308,0
590,0,1299,0
592,0,1292,0
594,0,1285,0
596,0,1286,0
598,0,1292,0
600,79712,1299,1
602,0,1306,0
604,0,1312,0
606,0,1311,0
608,0,1307,0
610,0,1300,0
612,0,1290,0
614,0,1287,0
616,0,1285,0
618,0,1289,0
620,0,1299,0
622,0,1308,0
624,0,1312,0
626,0,1313,0
628,0,1306,0
630,0,1299,0
632,0,1292,0
634,0,1287,0
636,0,1287,0
638,0,1291,0
640,79439,1300,1
642,0,1307,0
644,0,1312,0
646,0,1313,0
648,0,1308,0
650,0,1299,0
652,0,1291,0
654,0,1286,0
656,0,1286,0
658,0,1291,0
660,0,1300,0
662,0,1306,0
664,0,1312,0
666,0,1312,0
668,0,1306,0
670,0,1299,0
672,0,1290,0
674,0,1286,0
676,0,1285,0
678,0,1290,0
680,79253,1297,1
682,0,1306,0
684,0,1312,0
686,0,1313,0
688,0,1308,0
690,0,1298,0
692,0,1291,0
694,0,1285,0
696,0,1287,0
698,0,1289,0
700,0,1300,0
702,0,1307,0
